"ID","Name","object"
"251","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.02480965293943882""},""kd"":{""N"":""0.04418997839093208""},""ki"":{""N"":""0.012360277585685253""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.03342753588869465""},""overshoot"":{""N"":""14.22363457620671""},""settlingTime"":{""N"":""9.8""}}}}"
"1007","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.034250400960445404""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.009686604142189026""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.1331613824219356""},""overshoot"":{""N"":""6.0419472450215155""},""settlingTime"":{""N"":""12.5""}}}}"
"187","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.02256201207637787""},""kd"":{""N"":""0.041072238236665726""},""ki"":{""N"":""0.00947079062461853""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.06670663416139937""},""overshoot"":{""N"":""12.506253508414774""},""settlingTime"":{""N"":""12.4""}}}}"
"154","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.0315161868929863""},""kd"":{""N"":""0.03883829340338707""},""ki"":{""N"":""0.011723240837454796""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.09993185390171865""},""overshoot"":{""N"":""8.76082976299522""},""settlingTime"":{""N"":""10.700000000000001""}}}}"
"1091","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.034250400960445404""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.0057481154799461365""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""1.8543711874606086""},""overshoot"":{""N"":""6.107515898487363""},""settlingTime"":{""N"":""18.400000000000002""}}}}"
"7","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.036174412816762924""},""kd"":{""N"":""0.04013798013329506""},""ki"":{""N"":""0.00139157276134938""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""2.926673132781828""},""overshoot"":{""N"":""3.4674706376312323""},""settlingTime"":{""N"":""19.3""}}}}"
"947","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.027992654591798782""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.016573547601618034""},""overshoot"":{""N"":""7.506209012232492""},""settlingTime"":{""N"":""10.200000000000001""}}}}"
"115","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.017917534336447716""},""kd"":{""N"":""0.038634076714515686""},""ki"":{""N"":""0.006339590065181255""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""9.98080789872264""},""overshoot"":{""N"":""14.507360022937974""},""settlingTime"":{""N"":""19""}}}}"
"512","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.06348319351673126""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.26658136795070064""},""overshoot"":{""N"":""22.275907635463003""},""settlingTime"":{""N"":""13""}}}}"
"1073","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.034250400960445404""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.006156039424240589""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""1.5412095373178032""},""overshoot"":{""N"":""5.726806423217679""},""settlingTime"":{""N"":""16.400000000000002""}}}}"
"930","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.042077191174030304""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.1831207060366278""},""overshoot"":{""N"":""6.092889978519324""},""settlingTime"":{""N"":""7""}}}}"
"843","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.034250400960445404""},""kd"":{""N"":""0.03215453028678894""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.21573233298880784""},""overshoot"":{""N"":""5.077993782739864""},""settlingTime"":{""N"":""11.4""}}}}"
"286","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.005092051345854998""},""kd"":{""N"":""0.04582752659916878""},""ki"":{""N"":""0.006852077320218086""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""2.24244693653152""},""overshoot"":{""N"":""29.038031279972397""},""settlingTime"":{""N"":""17""}}}}"
"361","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.040824659168720245""},""kd"":{""N"":""0.04036687687039375""},""ki"":{""N"":""0.007330541964620352""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""1.0475736167762717""},""overshoot"":{""N"":""3.314443146980104""},""settlingTime"":{""N"":""7.1000000000000005""}}}}"
"380","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.03520415723323822""},""kd"":{""N"":""0.03931090980768204""},""ki"":{""N"":""0.009013324044644833""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.4651940654844667""},""overshoot"":{""N"":""5.432800763816607""},""settlingTime"":{""N"":""12.9""}}}}"
"678","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.034250400960445404""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.001397595158778131""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""8.636615224408624""},""overshoot"":{""N"":""9.089256702221881""},""settlingTime"":{""N"":""17.6""}}}}"
"526","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.07703369110822678""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.31836358692504846""},""overshoot"":{""N"":""25.821046467077718""},""settlingTime"":{""N"":""15""}}}}"
"117","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.015729842707514763""},""kd"":{""N"":""0.03799009695649147""},""ki"":{""N"":""0.00560976704582572""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""11.031091585864502""},""overshoot"":{""N"":""15.949417796642607""},""settlingTime"":{""N"":""19.3""}}}}"
"401","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.021152818575501442""},""kd"":{""N"":""0.037226516753435135""},""ki"":{""N"":""0.0067186360247433186""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""7.689427440863058""},""overshoot"":{""N"":""15.434985527559986""},""settlingTime"":{""N"":""19""}}}}"
"756","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.034250400960445404""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.005005394574254751""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""1.144723616660981""},""overshoot"":{""N"":""2.6328710556434776""},""settlingTime"":{""N"":""18.6""}}}}"
"554","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.08659181743860245""},""kd"":{""N"":""0.03778810054063797""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.10052548878678358""},""overshoot"":{""N"":""26.687891441061414""},""settlingTime"":{""N"":""15.700000000000001""}}}}"
"47","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.010399943217635155""},""kd"":{""N"":""0.04056081175804138""},""ki"":{""N"":""0.0006614014273509383""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""22.687136158025094""},""overshoot"":{""N"":""25.357440165641915""},""settlingTime"":{""N"":""19""}}}}"
"184","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.022845186293125153""},""kd"":{""N"":""0.04193315654993057""},""ki"":{""N"":""0.009938315488398075""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.016636953651198386""},""overshoot"":{""N"":""15.385900421626852""},""settlingTime"":{""N"":""11.9""}}}}"
"403","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.019200680777430534""},""kd"":{""N"":""0.03719129040837288""},""ki"":{""N"":""0.005617827642709017""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""5.983871804911169""},""overshoot"":{""N"":""13.887094955761942""},""settlingTime"":{""N"":""18.7""}}}}"
"888","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.034250400960445404""},""kd"":{""N"":""0.034970223903656006""},""ki"":{""N"":""0.009446900337934494""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.5661938068426405""},""overshoot"":{""N"":""5.578679205858948""},""settlingTime"":{""N"":""10.700000000000001""}}}}"
"304","Motor","{""PID"":{""M"":{""kp"":{""N"":""0.033978454768657684""},""kd"":{""N"":""0.036613382399082184""},""ki"":{""N"":""0.009893672540783882""}}},""time"":{""M"":{""day"":{""S"":""01/10/2021""},""time"":{""S"":""13:00:00""}}},""quality"":{""M"":{""steadyStateError"":{""N"":""0.24904533129686893""},""overshoot"":{""N"":""6.674419438912299""},""settlingTime"":{""N"":""12""}}}}"
